,number_concepts,embedding_dimension,boc_model,document,accuracy,method
672,7.0,300.0,VLAD,20n,0.83111448934929,self-trained-glove
673,7.0,300.0,VLAD_TFIDF,20n,0.8955603572691573,self-trained-glove
674,8.0,300.0,VLAD,20n,0.8325592970659421,self-trained-glove
675,8.0,300.0,VLAD_TFIDF,20n,0.8942592051757805,self-trained-glove
676,9.0,300.0,VLAD,20n,0.8388637397642874,self-trained-glove
677,9.0,300.0,VLAD_TFIDF,20n,0.8960922287345208,self-trained-glove
678,10.0,300.0,VLAD,20n,0.8426828759715518,self-trained-glove
679,10.0,300.0,VLAD_TFIDF,20n,0.8946302976280498,self-trained-glove
680,11.0,300.0,VLAD,20n,0.8441778816620296,self-trained-glove
681,11.0,300.0,VLAD_TFIDF,20n,0.8960641759882477,self-trained-glove
682,12.0,300.0,VLAD,20n,0.8456635677438191,self-trained-glove
683,12.0,300.0,VLAD_TFIDF,20n,0.8975420090159238,self-trained-glove
684,13.0,300.0,VLAD,20n,0.8441882620375336,self-trained-glove
685,13.0,300.0,VLAD_TFIDF,20n,0.8964050250939405,self-trained-glove
686,14.0,300.0,VLAD,20n,0.8444396806460464,self-trained-glove
687,14.0,300.0,VLAD_TFIDF,20n,0.8983965216279461,self-trained-glove
688,15.0,300.0,VLAD,20n,0.8488754719649695,self-trained-glove
689,15.0,300.0,VLAD_TFIDF,20n,0.8949830736834322,self-trained-glove
690,16.0,300.0,VLAD,20n,0.8424909665673816,self-trained-glove
691,16.0,300.0,VLAD_TFIDF,20n,0.8966603425348122,self-trained-glove
692,17.0,300.0,VLAD,20n,0.8482595790361763,self-trained-glove
693,17.0,300.0,VLAD_TFIDF,20n,0.8955604811287637,self-trained-glove
694,18.0,300.0,VLAD,20n,0.8464809884699547,self-trained-glove
695,18.0,300.0,VLAD_TFIDF,20n,0.8970867956455391,self-trained-glove
696,19.0,300.0,VLAD,20n,0.8492859915302219,self-trained-glove
697,19.0,300.0,VLAD_TFIDF,20n,0.8959292361194215,self-trained-glove
698,20.0,300.0,VLAD,20n,0.8516565562348383,self-trained-glove
699,20.0,300.0,VLAD_TFIDF,20n,0.8961536963128767,self-trained-glove
700,21.0,300.0,VLAD,20n,0.8525157594412386,self-trained-glove
701,21.0,300.0,VLAD_TFIDF,20n,0.8971186174886944,self-trained-glove
702,22.0,300.0,VLAD,20n,0.8535541757714327,self-trained-glove
703,22.0,300.0,VLAD_TFIDF,20n,0.8969216544504433,self-trained-glove
704,23.0,300.0,VLAD,20n,0.8533935704917235,self-trained-glove
705,23.0,300.0,VLAD_TFIDF,20n,0.8987873627307061,self-trained-glove
706,24.0,300.0,VLAD,20n,0.8538077107398193,self-trained-glove
707,24.0,300.0,VLAD_TFIDF,20n,0.8968707805072086,self-trained-glove
708,25.0,300.0,VLAD,20n,0.8540647912152165,self-trained-glove
709,25.0,300.0,VLAD_TFIDF,20n,0.8957685177375371,self-trained-glove
710,26.0,300.0,VLAD,20n,0.855678420753185,self-trained-glove
711,26.0,300.0,VLAD_TFIDF,20n,0.8973652688296332,self-trained-glove
712,27.0,300.0,VLAD,20n,0.8538154643790966,self-trained-glove
713,27.0,300.0,VLAD_TFIDF,20n,0.8965766500267789,self-trained-glove
714,28.0,300.0,VLAD,20n,0.8554434537403075,self-trained-glove
715,28.0,300.0,VLAD_TFIDF,20n,0.8975078273297269,self-trained-glove
716,29.0,300.0,VLAD,20n,0.8565853109693238,self-trained-glove
717,29.0,300.0,VLAD_TFIDF,20n,0.8963994748613121,self-trained-glove
718,30.0,300.0,VLAD,20n,0.8555023027972778,self-trained-glove
719,30.0,300.0,VLAD_TFIDF,20n,0.8965903253613599,self-trained-glove
720,1.0,300.0,VLAD,r8,0.8895713866572054,self-trained
721,1.0,300.0,VLAD_TFIDF,r8,0.9318358277691492,self-trained
